"Total","NRenew","Batt","Renew","Gas","Coal","Solar","HyproP","GasR","GasO","GasC","GasS","Dist","BlCoal","BrCoal","BattD","BattC","SolarR","SolarU","Wind","Bio","Hydro","Pumps"
547.56,421.77,0.06,125.79,79.46,342.3,51.85,36.78,2.06,20.61,32.95,23.84,0.01,262.18,80.12,0.18,0.12,33.21,18.64,36.08,1.02,37.6,0.82
503.17,383.06,0.04,120.11,56.69,326.37,54.74,30.27,1.9,12.29,23.42,19.08,0,246.33,80.04,0.17,0.13,37.05,17.69,33.96,1.1,32.08,1.81
492.16,361.12,0.05,131.04,30.56,330.55,44.31,26.16,1.99,5.31,15.36,7.9,0.01,250.14,80.41,0.24,0.19,30.12,14.19,59.34,1.18,28.31,2.15
543.11,399.23,0.09,143.88,60.68,338.54,43.04,36.82,2.15,16.9,31.5,10.13,0.01,267.5,71.04,0.27,0.18,29.68,13.36,63.01,0.92,40.51,3.69
574.14,434.65,0.08,139.49,87.77,346.6,44.72,53.01,2.15,28.62,36.29,20.71,0.28,279.85,66.75,0.23,0.15,29.81,14.91,40.84,0.84,53.81,0.8
557.04,419.94,0.05,137.1,77.83,342.08,49.95,42.49,2.04,23.45,34.87,17.47,0.03,274.62,67.46,0.21,0.16,33.91,16.04,43.74,0.87,42.93,0.44
539.03,371.59,0.1,167.44,32.58,339.01,48.65,35.36,2.03,5.88,15.96,8.71,0,271.91,67.1,0.24,0.14,33.4,15.25,82.09,1.24,36.28,0.92
526.31,382.13,0.06,144.18,38.38,343.74,43.4,34.17,2.08,6.98,19.49,9.83,0.01,276.83,66.91,0.19,0.13,28.01,15.39,65.37,1.18,36.24,2.07
493.9,357.97,0.07,135.93,37.48,320.47,40.42,30.84,2.09,9.34,12.68,13.37,0.02,261.61,58.86,0.24,0.17,27.38,13.04,63.33,1.27,32.67,1.83
490.77,360.29,0.04,130.48,40.25,320.04,48.11,32.48,2.08,7.7,16.89,13.58,0,256.71,63.33,0.22,0.18,31.4,16.71,48.77,1.08,33.52,1.04
543.46,402.08,0.11,141.38,57.52,344.56,49.46,44.41,2.03,14.13,24.01,17.35,0,273.17,71.39,0.25,0.14,32.38,17.08,46.15,1.25,45.52,1.11
545.54,427.93,0.13,117.61,75.45,352.46,48.25,42.63,2.01,20.64,32.13,20.67,0.02,268.67,83.79,0.28,0.15,33.24,15.01,25.45,1.15,43.31,0.68
541.14,431.65,0.04,109.49,82.32,348.62,44.61,47.72,2.12,28.51,33.17,18.52,0.71,263.19,85.43,0.21,0.17,31.79,12.82,16.02,1.1,47.99,0.27
535.4,421.12,0.05,114.28,69.17,351.91,47.11,46.03,1.87,21.02,30.94,15.34,0.04,266.49,85.42,0.21,0.16,32.65,14.46,20.45,0.64,46.79,0.76
525,382.78,0.05,142.22,47.09,335.66,47.85,32.64,2.25,6.65,30.22,7.97,0.03,251.3,84.36,0.21,0.16,32.9,14.95,60.64,1.04,33.4,0.76
503.4,386.23,0.06,117.17,59.19,327.03,53.28,32.61,2.25,15.06,30.28,11.6,0.01,247.04,79.99,0.24,0.18,34.85,18.43,30.47,0.75,34.84,2.23
492.67,373.2,-0.01,119.47,51.96,321.24,53.69,28,2.08,10.45,25.1,14.33,0,239.47,81.77,0.18,0.19,36.35,17.34,36.48,1.31,30.77,2.77
542.46,409.63,0.11,132.83,63.86,345.77,47.67,49.07,2,19.66,25.42,16.78,0,260.39,85.38,0.24,0.13,31.84,15.83,34.74,1.24,50.01,0.94
538.23,395.05,0.1,143.18,57.04,337.99,49.46,48.2,2,22.22,15.02,17.8,0.02,252.52,85.47,0.25,0.15,35.05,14.41,44.32,1.1,48.83,0.63
531.39,392.71,0,138.68,53.61,338.87,50.33,35.21,2.01,17.21,18.51,15.88,0.23,253.45,85.42,0.2,0.2,37.72,12.61,52.36,0.78,36.21,1
529.14,405.57,0.12,123.57,57.21,348.22,54.7,36.61,2.04,19.23,16.01,19.93,0.14,262.97,85.25,0.25,0.13,40.02,14.68,31.02,1.12,38.39,1.78
515.73,391.14,0.06,124.59,52.03,338.95,47.61,39.76,0,21.22,15.2,15.61,0.16,254.61,84.34,0.26,0.2,32.84,14.77,37.16,0,41.73,1.97
475.59,366.49,0.12,109.1,30.79,335.69,42.48,22.75,0,5.28,14.74,10.77,0.01,250.43,85.26,0.25,0.13,28.66,13.82,43.75,0,24.28,1.53
476.56,344.52,0.03,132.04,26.45,318.06,47.99,14.22,1.72,3.9,15.36,5.47,0.01,237.02,81.04,0.19,0.16,30.03,17.96,69.54,0.26,21.58,7.36
506.58,384.35,0.01,122.23,46.35,338,50.13,26.89,1.93,6.23,26.03,12.16,0,252.51,85.49,0.22,0.21,33.29,16.84,44.99,0.21,28.42,1.53
548.82,411.75,0.03,137.07,65.05,346.68,46.09,29.81,1.87,17.25,32.28,13.65,0.02,260.98,85.7,0.21,0.18,31.24,14.85,60.93,0.21,30.71,0.9
542.59,419.41,0.03,123.18,78.92,340.44,53.24,41.59,1.94,18.84,38.36,19.78,0.05,254.74,85.7,0.16,0.13,36,17.24,28.13,0.19,42.61,1.02
540.5,432.15,0.07,108.35,84.01,347.89,48.27,35.34,1.95,23.1,38.91,20.05,0.25,262.2,85.69,0.2,0.13,34.15,14.12,24.67,0,37.27,1.93
534.03,420.75,0.02,113.28,68.64,352.1,44.09,29.09,2.01,14.97,37.84,13.82,0.01,262.48,89.62,0.16,0.14,30.39,13.7,40.08,0,30.26,1.17
499.27,388.89,0.06,110.38,51.64,337.25,44.68,25.16,1.96,7.54,34.91,7.23,0,250.67,86.58,0.18,0.12,29.67,15.01,40.48,0,26.19,1.03
483.64,366.6,0.03,117.04,44.01,322.59,48.81,19.53,1.99,6.15,27.02,8.85,0,242.28,80.31,0.21,0.18,33.36,15.45,48.67,0,22.14,2.61
